id,user_id,order_date,status
1,88,2018-01-02,shipped
2,8,2018-01-02,shipped
3,13,2018-01-05,shipped
4,37,2018-01-11,shipped
5,21,2018-01-14,completed
6,73,2018-01-17,completed
7,9,2018-01-20,return_pending
8,63,2018-01-20,completed
9,87,2018-01-25,completed
10,67,2018-01-28,completed
11,62,2018-01-29,completed
12,97,2018-01-30,completed
13,90,2018-01-30,returned
14,93,2018-01-31,completed
15,7,2018-02-04,completed
16,67,2018-02-09,completed
17,21,2018-02-13,return_pending
18,24,2018-02-14,completed
19,12,2018-02-23,completed
20,68,2018-03-02,shipped
21,88,2018-03-05,completed
22,60,2018-03-11,shipped
23,98,2018-03-16,return_pending
24,74,2018-03-26,return_pending
25,84,2018-03-27,completed
26,50,2018-03-27,completed
27,99,2018-03-31,completed
28,75,2018-04-03,completed
29,74,2018-04-03,completed
30,71,2018-04-04,completed
31,9,2018-04-05,completed
32,38,2018-04-09,shipped
33,99,2018-04-12,returned
34,17,2018-04-13,placed
35,62,2018-04-13,completed
36,98,2018-04-14,returned
37,13,2018-04-21,completed
38,29,2018-04-24,completed
39,82,2018-04-26,completed
40,100,2018-04-27,completed
41,23,2018-04-29,completed
42,27,2018-05-02,completed
43,40,2018-05-05,completed
44,73,2018-05-10,completed
45,58,2018-05-12,completed
46,50,2018-05-18,return_pending
47,3,2018-05-18,shipped
48,23,2018-05-19,return_pending
49,21,2018-05-24,completed
50,64,2018-05-24,completed
51,18,2018-05-27,shipped
52,50,2018-05-28,completed
53,90,2018-05-31,completed
54,74,2018-06-04,completed
55,33,2018-06-06,returned
56,67,2018-06-12,completed
57,71,2018-06-17,completed
58,84,2018-06-17,return_pending
59,58,2018-06-20,completed
60,46,2018-06-21,completed
61,83,2018-06-23,completed
62,64,2018-06-23,completed
63,84,2018-06-30,completed
64,23,2018-07-04,completed
65,21,2018-07-05,shipped
66,4,2018-07-08,completed
67,88,2018-07-14,completed
68,69,2018-07-17,completed
69,62,2018-07-18,completed
70,71,2018-07-21,completed
71,14,2018-07-22,completed
72,36,2018-07-24,shipped
73,87,2018-07-24,completed
74,11,2018-07-24,completed
75,58,2018-07-26,completed
76,13,2018-07-27,completed
77,90,2018-08-02,placed
78,29,2018-08-03,shipped
79,99,2018-08-03,returned
80,58,2018-08-05,completed
81,65,2018-08-10,shipped
82,2,2018-08-11,completed
83,6,2018-08-16,completed
84,29,2018-08-19,completed
85,24,2018-08-20,shipped
86,4,2018-08-22,completed
87,32,2018-08-27,completed
88,11,2018-09-05,completed
89,18,2018-09-06,completed
90,100,2018-09-10,completed
91,64,2018-09-11,completed
92,69,2018-09-12,shipped
93,83,2018-09-13,placed
94,73,2018-09-15,completed
95,71,2018-09-15,returned
96,60,2018-09-16,completed
97,18,2018-09-23,completed
98,11,2018-09-25,shipped
99,79,2018-09-28,shipped
